,frame_id,face_id,dominant_gender,gender,dominant_age,age,age_group,max_sum_age,direct_age_group
683,137075,0,Female,"{'Male': 0.012389476450163972, 'Female': 0.987610523549836}",20-29,"{'0-2': 0.0016289686846655126, '3-9': 0.03353925664710615, '10-19': 0.2773090823530507, '20-29': 0.42803115222839433, '30-39': 0.23712653786018897, '40-49': 0.01795480707045808, '50-59': 0.003922416766771073, '60-69': 0.0004730951221307904, 'more than 70': 1.4683267234227199e-05}",Up to 50,"{'Over 50': 0.004410195156136091, 'Up to 50': 0.9955898048438637}",Up to 50
684,137080,0,Female,"{'Male': 0.009211072510554197, 'Female': 0.9907889274894458}",30-39,"{'0-2': 0.00015727081223298588, '3-9': 0.002267517561956395, '10-19': 0.08962079484509608, '20-29': 0.3815048674026804, '30-39': 0.4579312652124601, '40-49': 0.051392196506908516, '50-59': 0.016350135899431635, '60-69': 0.000751187255841419, 'more than 70': 2.4764503392369915e-05}",Up to 50,"{'Over 50': 0.017126087658665422, 'Up to 50': 0.9828739123413345}",Up to 50
685,137085,0,Female,"{'Male': 0.011460970916369995, 'Female': 0.98853902908363}",30-39,"{'0-2': 0.00033118516887724363, '3-9': 0.0013488897574086044, '10-19': 0.029442420555629727, '20-29': 0.2617195118213321, '30-39': 0.5894395442350246, '40-49': 0.0964340326820657, '50-59': 0.02018911213372819, '60-69': 0.0010802493928531148, 'more than 70': 1.5054253080626951e-05}",Up to 50,"{'Over 50': 0.021284415779661933, 'Up to 50': 0.978715584220338}",Up to 50
686,137165,0,Female,"{'Male': 0.004645934779581751, 'Female': 0.9953540652204182}",20-29,"{'0-2': 0.0008995205206010943, '3-9': 0.0024480084423032606, '10-19': 0.043479377955147135, '20-29': 0.49372767513345245, '30-39': 0.41310842722550084, '40-49': 0.04356097010467534, '50-59': 0.002614176285920626, '60-69': 0.00016116604432453246, 'more than 70': 6.78288074845113e-07}",Up to 50,"{'Over 50': 0.002776020618320004, 'Up to 50': 0.9972239793816802}",Up to 50
687,137170,0,Female,"{'Male': 0.006606059693968325, 'Female': 0.9933939403060317}",30-39,"{'0-2': 0.0005278782952151843, '3-9': 0.0009126349479421917, '10-19': 0.021383220812343836, '20-29': 0.3955168225598893, '30-39': 0.5055439791279526, '40-49': 0.0701078288440701, '50-59': 0.005504227431303825, '60-69': 0.0005013046138546273, 'more than 70': 2.103367428264034e-06}",Up to 50,"{'Over 50': 0.0060076354125867155, 'Up to 50': 0.9939923645874131}",Up to 50
688,137175,0,Female,"{'Male': 0.007807424437526023, 'Female': 0.992192575562474}",30-39,"{'0-2': 0.001237189427710525, '3-9': 0.001746904969709001, '10-19': 0.0266747075872427, '20-29': 0.33732439948458826, '30-39': 0.5395723601975873, '40-49': 0.08563884919985931, '50-59': 0.006842876400027848, '60-69': 0.0009569758492716476, 'more than 70': 5.7368840035710575e-06}",Up to 50,"{'Over 50': 0.007805589133303066, 'Up to 50': 0.992194410866697}",Up to 50
689,137180,0,Female,"{'Male': 0.005519593056670491, 'Female': 0.9944804069433295}",30-39,"{'0-2': 0.00075428364054967, '3-9': 0.0015962526971317207, '10-19': 0.024605361608776938, '20-29': 0.3728248776964462, '30-39': 0.5139497974307672, '40-49': 0.0780354998510798, '50-59': 0.007206069749768786, '60-69': 0.001021987506592752, 'more than 70': 5.8698188869798666e-06}",Up to 50,"{'Over 50': 0.008233927075248518, 'Up to 50': 0.9917660729247515}",Up to 50
690,137185,0,Female,"{'Male': 0.006821800344828599, 'Female': 0.9931781996551714}",30-39,"{'0-2': 0.0014642278030039834, '3-9': 0.001788841865260147, '10-19': 0.027652275989599198, '20-29': 0.3118645332620814, '30-39': 0.5324722921904627, '40-49': 0.10973066153984688, '50-59': 0.013308722063339754, '60-69': 0.0017041430703271666, 'more than 70': 1.4302216078750536e-05}",Up to 50,"{'Over 50': 0.015027167349745671, 'Up to 50': 0.9849728326502544}",Up to 50
691,137295,0,Female,"{'Male': 0.0048852610233834914, 'Female': 0.9951147389766165}",30-39,"{'0-2': 6.408681081604605e-05, '3-9': 0.0025742749705241702, '10-19': 0.02782388338520407, '20-29': 0.3198760547283181, '30-39': 0.4800529912386832, '40-49': 0.10834607018172301, '50-59': 0.04857304499334221, '60-69': 0.012507706755136804, 'more than 70': 0.0001818869362525894}",Up to 50,"{'Over 50': 0.061262638684731606, 'Up to 50': 0.9387373613152686}",Up to 50
692,137300,0,Female,"{'Male': 0.006527368411183843, 'Female': 0.9934726315888162}",30-39,"{'0-2': 9.792477531442724e-05, '3-9': 0.0014404785743737574, '10-19': 0.016342881600735628, '20-29': 0.24773416530654133, '30-39': 0.5208563753047036, '40-49': 0.14484654098694408, '50-59': 0.05739859238396698, '60-69': 0.01112757549214343, 'more than 70': 0.00015546557527672714}",Up to 50,"{'Over 50': 0.06868163345138713, 'Up to 50': 0.9313183665486128}",Up to 50
