,frame_id,face_id,dominant_gender,gender,dominant_age,age,age_group,max_sum_age,direct_age_group
1077,49395,0,Male,"{'Male': 0.9870956173012306, 'Female': 0.012904382698769416}",50-59,"{'0-2': 0.00021894810394516834, '3-9': 6.785258390639924e-05, '10-19': 0.0004666988414356268, '20-29': 0.010935497541815914, '30-39': 0.0337782579504296, '40-49': 0.10581947209714943, '50-59': 0.403801786288346, '60-69': 0.38222266802073157, 'more than 70': 0.0626888185722405}",Over 50,"{'Over 50': 0.848713272881318, 'Up to 50': 0.15128672711868213}",Over 50
1078,49400,0,Male,"{'Male': 0.9818007168597093, 'Female': 0.01819928314029069}",50-59,"{'0-2': 0.000262977486180148, '3-9': 0.0002042854798447474, '10-19': 0.0008075646815992572, '20-29': 0.027308279375742397, '30-39': 0.10421603469162169, '40-49': 0.1843978251267494, '50-59': 0.4258812941822507, '60-69': 0.2184884700228751, 'more than 70': 0.03843326895313669}",Over 50,"{'Over 50': 0.6828030331582625, 'Up to 50': 0.31719696684173765}",Over 50
1079,49405,0,Male,"{'Male': 0.9864996159984567, 'Female': 0.013500384001543271}",50-59,"{'0-2': 0.00012182789856869955, '3-9': 2.7287563644142344e-05, '10-19': 0.00039762825876772694, '20-29': 0.012992431180896005, '30-39': 0.03450283196906903, '40-49': 0.1218213193061916, '50-59': 0.5134643709869026, '60-69': 0.2558067795177307, 'more than 70': 0.06086552331822959}",Over 50,"{'Over 50': 0.8301366738228628, 'Up to 50': 0.1698633261771372}",Over 50
1080,49410,0,Male,"{'Male': 0.9802918949740371, 'Female': 0.019708105025962885}",50-59,"{'0-2': 9.750397966543782e-05, '3-9': 5.3125543285944746e-05, '10-19': 0.00040714622734006105, '20-29': 0.011025255572701497, '30-39': 0.035991097373546645, '40-49': 0.10915196604371703, '50-59': 0.5533034658863877, '60-69': 0.2333062199372611, 'more than 70': 0.056664219436094565}",Over 50,"{'Over 50': 0.8432739052597433, 'Up to 50': 0.15672609474025662}",Over 50
1081,49415,0,Male,"{'Male': 0.9741349709400133, 'Female': 0.025865029059986614}",50-59,"{'0-2': 6.221240566363901e-05, '3-9': 9.518639855343864e-05, '10-19': 0.0008425575618372157, '20-29': 0.01884464052930207, '30-39': 0.04572910046307841, '40-49': 0.10297997819234918, '50-59': 0.5062157292183792, '60-69': 0.24179468356179487, 'more than 70': 0.08343591166904189}",Over 50,"{'Over 50': 0.831446324449216, 'Up to 50': 0.16855367555078393}",Over 50
1082,49420,0,Male,"{'Male': 0.9731855365513848, 'Female': 0.026814463448615114}",50-59,"{'0-2': 0.00015493095468233263, '3-9': 0.00011409956235860893, '10-19': 0.0015218214021901664, '20-29': 0.025685172292604093, '30-39': 0.05769046894536515, '40-49': 0.11181832357627569, '50-59': 0.5073275314301193, '60-69': 0.24207115776897212, 'more than 70': 0.05361649406743251}",Over 50,"{'Over 50': 0.803015183266524, 'Up to 50': 0.19698481673347604}",Over 50
1083,49425,0,Male,"{'Male': 0.9842186446320051, 'Female': 0.01578135536799491}",50-59,"{'0-2': 0.00011245712135990231, '3-9': 0.00014042752756226746, '10-19': 0.0010368068504385671, '20-29': 0.019085929790598356, '30-39': 0.053454820942299176, '40-49': 0.10920295966429357, '50-59': 0.4878158381936742, '60-69': 0.20587942060774253, 'more than 70': 0.12327133930203146}",Over 50,"{'Over 50': 0.8169665981034482, 'Up to 50': 0.18303340189655182}",Over 50
1084,49430,0,Male,"{'Male': 0.9841106209297359, 'Female': 0.01588937907026411}",50-59,"{'0-2': 9.792016621060612e-05, '3-9': 6.289745169074768e-05, '10-19': 0.0005783965406407317, '20-29': 0.013087532403909558, '30-39': 0.03822912808248434, '40-49': 0.10634100418000562, '50-59': 0.49943484416179845, '60-69': 0.2678690795468598, 'more than 70': 0.07429919746640026}",Over 50,"{'Over 50': 0.8416031211750585, 'Up to 50': 0.1583968788249416}",Over 50
1085,49435,0,Male,"{'Male': 0.9868134465224762, 'Female': 0.013186553477523795}",50-59,"{'0-2': 4.505986435591589e-05, '3-9': 4.5160704459760804e-05, '10-19': 0.00022561003730952532, '20-29': 0.011519080964458731, '30-39': 0.031054051942538734, '40-49': 0.12922104251599256, '50-59': 0.5159316924439646, '60-69': 0.20837118349674366, 'more than 70': 0.10358711803017644}",Over 50,"{'Over 50': 0.8278899939708847, 'Up to 50': 0.17211000602911522}",Over 50
1086,49440,0,Male,"{'Male': 0.9910622415023737, 'Female': 0.008937758497626319}",50-59,"{'0-2': 6.12156752285317e-05, '3-9': 5.8376416830331907e-05, '10-19': 0.0003131405592277434, '20-29': 0.012015670546176454, '30-39': 0.03244104960200248, '40-49': 0.11950972700628942, '50-59': 0.5858628003468774, '60-69': 0.18678406180726953, 'more than 70': 0.06295395804009808}",Over 50,"{'Over 50': 0.835600820194245, 'Up to 50': 0.16439917980575497}",Over 50
1087,49445,0,Male,"{'Male': 0.9825464994595235, 'Female': 0.01745350054047644}",50-59,"{'0-2': 0.00013530205155499062, '3-9': 0.00017343656882484818, '10-19': 0.0003399433918961255, '20-29': 0.013368058246228571, '30-39': 0.0473154508932848, '40-49': 0.11819015786825411, '50-59': 0.5059650014939916, '60-69': 0.20182736773689722, 'more than 70': 0.11268528174906783}",Over 50,"{'Over 50': 0.8204776509799567, 'Up to 50': 0.17952234902004344}",Over 50
1088,49455,0,Male,"{'Male': 0.9801296411933069, 'Female': 0.019870358806693054}",50-59,"{'0-2': 0.0005055725285543437, '3-9': 0.00016127942560991869, '10-19': 0.0005698527610888102, '20-29': 0.018431447288857435, '30-39': 0.04294270065770967, '40-49': 0.11673082699907177, '50-59': 0.4782863343835439, '60-69': 0.2558741753202104, 'more than 70': 0.08649781063535367}",Over 50,"{'Over 50': 0.8206583203391079, 'Up to 50': 0.17934167966089193}",Over 50
1089,49460,0,Male,"{'Male': 0.9786738296098939, 'Female': 0.021326170390106133}",50-59,"{'0-2': 0.001218771675193607, '3-9': 0.0003664934878764088, '10-19': 0.0014723815674712198, '20-29': 0.040824207423046016, '30-39': 0.09973331414482761, '40-49': 0.17517175034516522, '50-59': 0.37288623421576644, '60-69': 0.27040905213969396, 'more than 70': 0.037917795000959716}",Over 50,"{'Over 50': 0.6812130813564201, 'Up to 50': 0.3187869186435801}",Over 50
1090,49465,0,Male,"{'Male': 0.9584977982797402, 'Female': 0.0415022017202597}",50-59,"{'0-2': 4.842469704615015e-05, '3-9': 0.00019636154681902432, '10-19': 0.0010734507163515836, '20-29': 0.04847345451318545, '30-39': 0.12688848950467538, '40-49': 0.24684616430971376, '50-59': 0.3315886073982039, '60-69': 0.2167576491645517, 'more than 70': 0.02812739814945308}",Over 50,"{'Over 50': 0.5764736547122087, 'Up to 50': 0.4235263452877913}",Over 50
1091,50175,0,Female,"{'Male': 0.2825067543434173, 'Female': 0.7174932456565827}",20-29,"{'0-2': 3.411584644778314e-05, '3-9': 0.0006445647203038919, '10-19': 0.06106267258404058, '20-29': 0.7497965017381526, '30-39': 0.17719890172197394, '40-49': 0.01087178459260454, '50-59': 0.0003493165891466478, '60-69': 4.139900635952177e-05, 'more than 70': 7.432009706789026e-07}",Up to 50,"{'Over 50': 0.00039145879647684847, 'Up to 50': 0.9996085412035233}",Up to 50
1092,50180,0,Female,"{'Male': 0.02750041399059333, 'Female': 0.9724995860094067}",20-29,"{'0-2': 0.00011266789405359614, '3-9': 0.001610401527389116, '10-19': 0.09560307427657344, '20-29': 0.7643700327277615, '30-39': 0.12909556805615727, '40-49': 0.008998402092218806, '50-59': 0.00016878944895518588, '60-69': 4.090584053916755e-05, 'more than 70': 1.5813635193048145e-07}",Up to 50,"{'Over 50': 0.0002098534258462839, 'Up to 50': 0.9997901465741538}",Up to 50
1093,50185,0,Female,"{'Male': 0.40999776601408544, 'Female': 0.5900022339859146}",20-29,"{'0-2': 4.3216697936525354e-05, '3-9': 0.0013032830665696193, '10-19': 0.02366104667770285, '20-29': 0.6986713973215287, '30-39': 0.2546332846022908, '40-49': 0.020523273375362677, '50-59': 0.0010017606547194971, '60-69': 0.00016011376803449565, 'more than 70': 2.6238358548828044e-06}",Up to 50,"{'Over 50': 0.0011644982586088758, 'Up to 50': 0.9988355017413912}",Up to 50
1094,50530,0,Male,"{'Male': 0.9928028212365437, 'Female': 0.007197178763456263}",30-39,"{'0-2': 2.631966739434137e-05, '3-9': 0.00030911224235629845, '10-19': 0.0013841302525538044, '20-29': 0.3086838679500101, '30-39': 0.6344864608047196, '40-49': 0.05273694609306476, '50-59': 0.0021062603916558753, '60-69': 0.000254145388984514, 'more than 70': 1.2757209260627677e-05}",Up to 50,"{'Over 50': 0.0023731629899010173, 'Up to 50': 0.997626837010099}",Up to 50
1095,50535,0,Male,"{'Male': 0.9918855399450413, 'Female': 0.008114460054958788}",30-39,"{'0-2': 2.0327875294410276e-05, '3-9': 0.00037779294463380266, '10-19': 0.002232576207746145, '20-29': 0.33413059002830275, '30-39': 0.6230782367236157, '40-49': 0.03859226519758812, '50-59': 0.0014601822762596757, '60-69': 0.0001051598186093435, 'more than 70': 2.8689279500038224e-06}",Up to 50,"{'Over 50': 0.001568211022819023, 'Up to 50': 0.998431788977181}",Up to 50
